record_date,security_type_desc,security_class_desc,debt_held_public_mil_amt,intragov_hold_mil_amt,total_mil_amt
2023-01-31,Marketable,Bills,3937201.9128,1671.535,3938873.4478
2023-01-31,Marketable,Notes,13747218.0025,6572.5649,13753790.5674
2023-01-31,Marketable,Bonds,3994729.94755,7131.7605,4001861.70805
2022-12-31,Marketable,Bills,3696168.8438,1217.3,3697386.1438
2022-12-31,Marketable,Notes,13745309.0878,6607.7819,13751916.8697
2022-12-31,Marketable,Bonds,3952657.97855,7215.6275,3959873.60605
2022-11-30,Marketable,Bills,3810733.1414,1172.01,3811905.1514
2022-11-30,Marketable,Notes,13711307.1068,6630.2469,13717937.3537
2022-11-30,Marketable,Bonds,3934877.79015,7011.6605,3941889.45065
2022-10-31,Marketable,Bills,3664797.5893,1180.86,3665978.4493
2022-10-31,Marketable,Notes,13727319.9538,6889.1039,13734209.0577
2022-10-31,Marketable,Bonds,3897465.22365,6875.0515,3904340.27515
2022-09-30,Marketable,Bills,3643675.2524,944.948,3644620.2004
2022-09-30,Marketable,Notes,13696487.6086,7307.7439,13703795.3525
2022-09-30,Marketable,Bonds,3867671.65395,6680.4895,3874352.14345
2022-08-31,Marketable,Bills,3723766.292,1213.09,3724979.382
2022-08-31,Marketable,Notes,13664817.6994,7328.1149,13672145.8143
2022-08-31,Marketable,Bonds,3837714.75775,6638.0155,3844352.77325
2022-07-31,Marketable,Bills,3513559.2012,1376.8,3514936.0012
2022-07-31,Marketable,Notes,13623822.5948,7140.6159,13630963.2107
2022-07-31,Marketable,Bonds,3781547.80095,6493.6315,3788041.43245
2022-06-30,Marketable,Bills,3522601.3666,1323.95,3523925.3166
2022-06-30,Marketable,Notes,13575955.1127,7642.2049,13583597.3176
2022-06-30,Marketable,Bonds,3760441.60215,6178.2195,3766619.82165
2022-05-31,Marketable,Bills,3671227.6121,1695.705,3672923.3171
2022-05-31,Marketable,Notes,13508581.9001,7748.7809,13516330.681
2022-05-31,Marketable,Bonds,3725316.69055,6115.4645,3731432.15505
2022-04-30,Marketable,Bills,3826069.6923,1858.41,3827928.1023
