record_date,security_type_desc,security_desc,avg_interest_rate_amt
2023-01-31,Marketable,Treasury Bills,0.04242
2023-01-31,Marketable,Treasury Notes,0.01753
2023-01-31,Marketable,Treasury Bonds,0.030219999999999997
2022-12-31,Marketable,Treasury Bills,0.03891
2022-12-31,Marketable,Treasury Notes,0.01697
2022-12-31,Marketable,Treasury Bonds,0.030139999999999997
2022-11-30,Marketable,Treasury Bills,0.03456
2022-11-30,Marketable,Treasury Notes,0.0168
2022-11-30,Marketable,Treasury Bonds,0.03012
2022-10-31,Marketable,Treasury Bills,0.02924
2022-10-31,Marketable,Treasury Notes,0.01631
2022-10-31,Marketable,Treasury Bonds,0.03009
2022-09-30,Marketable,Treasury Bills,0.02453
2022-09-30,Marketable,Treasury Notes,0.0159
2022-09-30,Marketable,Treasury Bonds,0.03001
2022-08-31,Marketable,Treasury Bills,0.019710000000000002
2022-08-31,Marketable,Treasury Notes,0.01552
2022-08-31,Marketable,Treasury Bonds,0.02997
2022-07-31,Marketable,Treasury Bills,0.015109999999999998
2022-07-31,Marketable,Treasury Notes,0.01504
2022-07-31,Marketable,Treasury Bonds,0.03004
2022-06-30,Marketable,Treasury Bills,0.01073
2022-06-30,Marketable,Treasury Notes,0.01492
2022-06-30,Marketable,Treasury Bonds,0.03003
2022-05-31,Marketable,Treasury Bills,0.00728
2022-05-31,Marketable,Treasury Notes,0.01463
2022-05-31,Marketable,Treasury Bonds,0.03
2022-04-30,Marketable,Treasury Bills,0.00505
2022-04-30,Marketable,Treasury Notes,0.014199999999999999
2022-04-30,Marketable,Treasury Bonds,0.029980000000000003
2022-03-31,Marketable,Treasury Bills,0.00329
2022-03-31,Marketable,Treasury Notes,0.014110000000000001
2022-03-31,Marketable,Treasury Bonds,0.029990000000000003
2022-02-28,Marketable,Treasury Bills,0.00185
2022-02-28,Marketable,Treasury Notes,0.013959999999999998
2022-02-28,Marketable,Treasury Bonds,0.03005
2022-01-31,Marketable,Treasury Bills,0.0010299999999999999
2022-01-31,Marketable,Treasury Notes,0.013959999999999998
2022-01-31,Marketable,Treasury Bonds,0.03016
2021-12-31,Marketable,Treasury Bills,0.0007099999999999999
2021-12-31,Marketable,Treasury Notes,0.01401
2021-12-31,Marketable,Treasury Bonds,0.03028
2021-11-30,Marketable,Treasury Bills,0.00061
2021-11-30,Marketable,Treasury Notes,0.014150000000000001
2021-11-30,Marketable,Treasury Bonds,0.030430000000000002
2021-10-31,Marketable,Treasury Bills,0.0005600000000000001
2021-10-31,Marketable,Treasury Notes,0.014410000000000001
2021-10-31,Marketable,Treasury Bonds,0.03116
2021-09-30,Marketable,Treasury Bills,0.00053
2021-09-30,Marketable,Treasury Notes,0.014499999999999999
2021-09-30,Marketable,Treasury Bonds,0.03124
2021-08-31,Marketable,Treasury Bills,0.0005099999999999999
2021-08-31,Marketable,Treasury Notes,0.0147
2021-08-31,Marketable,Treasury Bonds,0.03145
2021-07-31,Marketable,Treasury Bills,0.00047
2021-07-31,Marketable,Treasury Notes,0.01512
2021-07-31,Marketable,Treasury Bonds,0.03196
2021-06-30,Marketable,Treasury Bills,0.00045
2021-06-30,Marketable,Treasury Notes,0.01524
2021-06-30,Marketable,Treasury Bonds,0.032080000000000004
2021-05-31,Marketable,Treasury Bills,0.00049
2021-05-31,Marketable,Treasury Notes,0.01562
2021-05-31,Marketable,Treasury Bonds,0.03236
2021-04-30,Marketable,Treasury Notes,0.01585
2021-04-30,Marketable,Treasury Bonds,0.032639999999999995
2021-04-30,Marketable,Treasury Bills,0.0006
2021-03-31,Marketable,Treasury Notes,0.01613
2021-03-31,Marketable,Treasury Bonds,0.03282
2021-03-31,Marketable,Treasury Bills,0.0007599999999999999
2021-02-28,Marketable,Treasury Bills,0.0009
2021-02-28,Marketable,Treasury Notes,0.01661
2021-02-28,Marketable,Treasury Bonds,0.03315
2021-01-31,Marketable,Treasury Bills,0.00109
2021-01-31,Marketable,Treasury Notes,0.01713
2021-01-31,Marketable,Treasury Bonds,0.033639999999999996
2020-12-31,Marketable,Treasury Bills,0.00121
2020-12-31,Marketable,Treasury Notes,0.01728
2020-12-31,Marketable,Treasury Bonds,0.033769999999999994
2020-11-30,Marketable,Treasury Bills,0.00146
2020-11-30,Marketable,Treasury Notes,0.017689999999999997
2020-11-30,Marketable,Treasury Bonds,0.03411
2020-10-31,Marketable,Treasury Notes,0.01844
2020-10-31,Marketable,Treasury Bonds,0.03474
2020-10-31,Marketable,Treasury Bills,0.00161
2020-09-30,Marketable,Treasury Bills,0.00179
2020-09-30,Marketable,Treasury Notes,0.01858
2020-09-30,Marketable,Treasury Bonds,0.0349
2020-08-31,Marketable,Treasury Bills,0.00207
