record_date,current_month_gross_rcpt_amt,current_month_gross_outly_amt,current_month_dfct_sur_amt,current_month_dfct_change_amt,sequence_number_cd,record_fiscal_year
2023-01-31,1472841578463.3,1933035131646.15,460193553182.85,38783771839.21997,2.5,FY 2023
2022-12-31,1025553260501.01,1446963041844.64,421409781343.63,85000736577.88,2.4,FY 2023
2022-11-30,570610888841.49,907019933607.24,336409044765.75,248611208454.36,2.3,FY 2023
2022-10-31,318576407660.87,406374243972.26,87797836311.39,87797836311.39,2.2,FY 2023
2022-09-30,4896119043921.0,6271507596876.0,1375388552955.0,429673478961.83997,2.13,FY 2022
2022-08-31,4408451733324.0,5354166807317.16,945715073993.16,219596243502.8401,2.12,FY 2022
2022-07-31,4104725332729.16,4830844163219.48,726118830490.32,211051760341.08997,2.11,FY 2022
2022-06-30,3835390278837.58,4350457348986.81,515067070149.23,88841465398.08997,2.10,FY 2022
2022-05-31,3374628866970.12,3800854471721.26,426225604751.14,66222561209.58002,2.9,FY 2022
2022-04-30,2985635719182.93,3345638762724.49,360003043541.56,-308263777573.2,2.8,FY 2022
2022-03-31,2121987110619.83,2790253931734.59,668266821114.76,192682386656.93,2.7,FY 2022
2022-02-28,1806837770281.93,2282422204739.76,475584434457.83,216589752056.05002,2.6,FY 2022
2022-01-31,1516952026833.03,1775946709234.81,258994682401.78,-118698858241.66,2.5,FY 2022
2021-12-31,1051873254585.54,1429566795228.98,377693540643.44,21303133188.22003,2.4,FY 2022
2021-11-30,565135393052.39,921525800507.61,356390407455.22,191335040521.96997,2.3,FY 2022
2021-10-31,283927361222.57,448982728155.82,165055366933.25,165055366933.25,2.2,FY 2022
2021-09-30,4045978858727.41,6818157647016.83,2772178788289.42,61544181358.8501,2.13,FY 2021
2021-08-31,3586455768777.26,6297090375707.83,2710634606930.57,170634653661.86963,2.12,FY 2021
2021-07-31,3318077685879.47,5858077639148.17,2539999953268.7,302050488343.5,2.11,FY 2021
2021-06-30,3056077986259.86,5294027451185.06,2237949464925.2,174160706413.8003,2.10,FY 2021
2021-05-31,2606879319775.13,4670668078286.53,2063788758511.4,131953073822.5,2.9,FY 2021
2021-04-30,2143134431421.36,4074970116110.26,1931835684688.9,225590550192.6399,2.8,FY 2021
